,names,score
0,liquidoo,0.004064709565016394
1,jeckt84,0.004077521094038729
2,mktkim4,0.004064652077087831
3,shanepants,0.004077521094038729
4,thepioneer,0.003628075984750543
5,ansarbutt,0.004038863916973995
6,yousafharoonkhan,0.0035764638083061622
7,mattcorwin,0.004064784764107215
8,neversaynever,0.004077521094038729
9,diaehamzawi,0.0040133956531346725
10,onegin,0.0035121194172422197
11,sapranak34,0.0035636912466670157
12,unlukubra,0.0036024801719347125
13,inferisgr,0.004051831351087218
14,thinkingcrypto,0.004013231356340315
15,fazn123,0.0036027520119765385
16,tradingwhale,0.0035117512195756064
17,turkuaztr,0.0036410945106080533
18,best10,0.003987557702025268
19,parkcaseynj,0.003923648272223402
20,ngalekat,0.0034348571202700196
21,saqibnazir,0.003525197686213359
22,sureshvtec,0.004013347214271506
23,steemgiirl,0.0036533384358821966
24,gulfuren,0.003602309310865084
25,wasabi90,0.0034619440063584374
26,ogorhope,0.0036278342611399802
27,osmondyang,0.0035121305562434762
28,flico,0.0034091454772153637
29,coinnewsupdate,0.00356429421155035
30,coinbizpro,0.00396179675206469
31,hectorjoachim,0.0034619295042943236
32,stockniper,0.0036025576803117
33,naughtyinvestor,0.0035770560689640553
34,aquia10,0.0035635245297098495
35,correctdrop,0.0034095331553891557
36,damedoubleu,0.003525489120317395
37,phantom00,0.003498681102147676
38,steemitraj,0.003474038482353479
39,chobs,0.004013167985131287
40,candylady,0.0036664324898243537
41,onlineprds,0.004026162256496111
42,chasegapo,0.0036019817602926745
43,btcturk,0.0035632168420453927
44,k3b4b,0.0035379424651124963
45,algoritma,0.0036155134328821887
46,thecryptoanalyst,0.003961936059859645
47,lifewithcrypto,0.003961769911633891
48,salahuddin2004,0.0035631509113403514
49,bitgeek,0.004064684604325512
50,anisurrahman23,0.003550364608791417
51,agere,0.0034472552713325495
52,mrmuscle,0.003422747212779648
53,infidel1258,0.0035506587539452026
54,cryptodade305,0.004026254239635869
55,voluntary-io,0.0035120636948867507
56,tenpix,0.003640894852676308
57,cryptogator,0.004077521094038729
58,arsalanhassan,0.0035505532056213456
59,chandrasekar,0.004077521094038729
60,colon2018,0.003498956500700283
61,seanytan,0.003460365839543322
62,rstracer,0.003525202024240274
63,ekrem21,0.0035637181573146656
64,pml2020,0.0036276226533213467
65,adnann,0.003602800930664472
66,junaidhassan,0.0036019174221322207
