,coin,author
0,,adul
1,,sobuka
2,,the-bitcoin-dood
3,,salmanaslam35
4,,cjclaro
5,,wahabali
6,,rubelhossen
7,,themission
8,,mnryse
9,,amitraj
10,,wadynoer
11,,tiatu
12,,jeckpb
13,,parkcaseynj
14,,wahabali
15,,sobuka
16,,rojoahmadia
17,,fazn123
18,,byvt
19,,muhammadzikri
20,,jeckpb
21,,mary1523
22,,jagr
23,,franklynx
24,,tiatu
25,,cryptojpl94
26,,thanksabunch
27,,blockchaindaily
28,,nokiasixteth
29,,wahabali
30,,elbreeder
31,,patelsakir
32,,ghost11
33,,rajsthani
34,,parindafx
35,,wond2006
36,,iwalphotographer
37,,jeckpb
38,,noxsoma
39,,cryptoryno33
40,,ldrbyks
41,,bentech
42,,pratickr
43,,trinityandgrow
44,,javacreations
45,,whalebebe
46,,almyra
47,,colinbrazendale
48,,dravid
49,,jignesh55227
50,,jeckpb
51,,javacreations
52,,ghoststories
53,,autobrad
54,,adul
55,,intelliguy
56,,paulromero
57,,cryptoking530
58,,philakonecrypto
59,,byvt
60,,steemit-earn
61,,exxodus
62,,eduardourbina
63,,vincetbishero
64,,cryptoryno-saur
65,,itsmidhun
66,,cryptoking83
67,,mynhpark
68,,jignesh55227
69,,elbreeder
70,,smartkhan
71,,blazing
72,,metin25
73,,deadcatbounce
74,,xrpchat
75,,muhammadsabil
76,,naku94
77,,secretcrypto
78,,notalone
79,,exxodus
80,,freshenstine
81,,bitcxin
82,,pratickr
83,,scratcher
84,,valbaranyshyn
85,,jignesh55227
86,,jamirul07
87,,nitroaus
88,,derecktafuma
89,,haejin
90,,akshay47
91,,rspower
92,,rolokime
93,,fenglin
94,,cryptoreports
95,,freshenstine
96,,vhmcrypto
97,,jignesh55227
98,,barrydutton
99,,matthewwarn
100,,exotril1
101,,hubtechinfo
102,,falseplanet
103,,steemit-stats
104,,yasu24
105,,eight5nine
106,,kayshap
107,,cryptoreports
108,,bitcoinmeister
109,,astana
110,,valarmorg
111,,southforce
112,,mercurq
113,,indra2alam
114,,jignesh55227
115,,cryptoeater
116,,mattcorwin
117,,amul
118,,jignesh55227
119,,mulherbe
120,,cura
121,,karankj
122,,mattcorwin
123,,razel
124,,iwalphotographer
125,,restue
126,,healthwithkanwal
127,,badriadi83
128,,cepul
129,,bonkite
130,,jeftek
131,,ctrl-alt-elite
132,,tuwatimikenneth
133,,andrewgenaille
134,,watertoncafe
135,,thefonzzz
136,,grolelo
137,,donaldoz
138,,richedmathiew
139,,kanrat
140,,richardmathiew
141,,arundawar
142,,aussiboy
143,,muhammadfaizan12
144,,goldmyanmar
145,,stevethompson
146,,taylortaua
147,,bitcoinminer25
148,,exxodus
149,,hari0m
150,,natebelt83
151,,whalebebe
152,,suheri
153,,razel
154,,cryp2me
155,,gurpreetgarcha
156,,currenc
157,,cricks1984
158,,haxor.crypto
159,,j1984mg
160,,openbullz
161,,coinbass
162,,gireesh
163,,ksams
164,,hellexgate
165,,bl0ckchan
166,,minnowboosted
167,,c0inbase
168,,muhammadfaizan12
169,,alixh
170,,ali.wood
171,,muhammadkariman
172,,truthforce
173,,ahmads
174,,savanpatel
175,,ronnn
176,,hari0m
177,,zaenalelnisamy
178,,r4j47
179,,thefonzzz
180,,shakershaikh
181,,themichaelmatch
182,,r4j4777
183,,rinkybrar
184,,coincap-fantasy
185,,tanishqsharma
186,,maffiarules
187,,muhammadfaizan12
188,,openbull
189,,boxmining
190,,yousafmaier
191,,steemsteamsteme
192,,riki28
193,,kevbot
194,,ihr
195,,ttomasz0882
196,,minnowboosted
197,,globatos82
198,,aervin11
199,,generation30
200,,drpostman
201,,matrixdweller
202,,thabiggdogg
203,,cristonova
204,,championtv
205,,mraza
206,,jetperalta
207,,solucher
208,,latimescrypto
209,,danielcfonseca
210,,mrblu
211,,citymahe
212,,gatorinla
213,,valarmorg
214,,scisan
215,,syarif.idris11
216,,justink365
217,,kenentertainment
218,,pk170
219,,thefonzzz
220,,iwalphotographer
221,,gatorinla
222,,hakinen64
223,,valarmorg
224,,foysal123
225,,stepbie
226,,abiismail
227,,ahsan047
228,,thefonzzz
229,,velasquezperu
230,,arkbtc
231,,don100100
232,,kingscrown
233,,cryptogladiator
234,,cryptorocko
235,,nitroaus
236,,cryptobosss
237,,veni001
238,,keeganharrington
239,,chartistcrypto
240,,utieyin
241,,ironwoodresearch
242,,muhammadfaizan12
243,,jamshedalam
244,,mahendran7418
245,,coinbelly
246,,bekpungoee
247,,feliks999
248,,yoon
249,,danjo1984
250,,citymahe
251,,lynn0919
252,,lydon.sipe
253,,madhurendra
254,,kyriacos
255,,crytochris
256,,yousafmaier
257,,marcopagan
258,,whalebebe
259,,coinnewsupdate
260,,john-robert
261,,entertainment123
262,,larksongbird
263,,jaywisefree
264,,hacked-watcgroup
265,,maestroq
266,,sleezy.skeezey
267,,vynchy
268,,cryptoblood
269,,manashjyoti
270,,avesh
271,,iswandi
272,,birdinc
273,,paulmoon410
274,,entertainment123
275,,klinton20
276,,martins-hacks
277,,jamshedalam
278,,cryptoblood
279,,don100100
280,,dream-o
281,,blockchainspoon
282,,onlineprds
283,,mary1523
284,,rukkanovax
285,,coininformation
286,,larksongbird
287,,mfg
288,,atropolis
289,,arsbit
290,,evigolin
291,,princewealth
292,,jeffreykirdeikis
293,,passion-ground
294,,chesatochi
295,,avesh
296,,chill.koreandude
297,,bmining
298,,clayygodd
299,,kid-martin95
