,coin,author
0,,osmondyang
1,,tarangogu
2,,bitcoinbox
3,,adul
4,,parindafx
5,,htuan
6,,kyus2001
7,,adul
8,,exxodus
9,,loshombresdepaco
10,,mynhpark
11,,exxodus
12,,hubtechinfo
13,,yasu24
14,,wattoowhale
15,,bitcoinmeister
16,,astana
17,,karankj
18,,exxodus
19,,alixh
20,,boxmining
21,,aervin11
22,,latimescrypto
23,,gatorinla
24,,cryptopatrick
25,,syarif.idris11
26,,kingscrown
27,,larksongbird
28,,pml2020
29,,birdinc
30,,matthew.davis
31,,onlineprds
32,,cryptojaxx
33,,jeffreykirdeikis
34,,maestroq
35,,joshkorol
36,,thinkinghuman
37,,shanghaipreneur
38,,bitcoinbox
39,,adul
40,,yliac
41,,shanepants
42,,maestroq
43,,shanepants
44,,roberttene
45,,auntychardonnay
46,,maestroq
47,,netuoso
48,,shariqkhan787
49,,dukeung
50,,thedolphin
51,,djokerbad182
52,,cowboyography
53,,alc7754
54,,ersin03ua
55,,cryptotaofficial
56,,thehermitmonk
57,,jrbuenavista
58,,thecryptobetter
59,,redsmock
60,,ylgv
61,,shariqkhan787
62,,shanepants
63,,timebit
64,,zizo2
65,,btcmacroecon
66,,cryptostories
67,,zizo2
68,,felixchidiblog
69,,cryptodade305
70,,justin11
71,,exxodus
72,,simplewins
73,,zizo2
74,,justin11
75,,zizo2
76,,justin11
77,,zizo2
78,,btcmacroecon
79,,justin11
80,,justin11
81,,zizo2
82,,netuoso
83,,zizo2
84,,justin11
85,,barrydutton
86,,santilum
87,,justin11
88,,chocofoxy
89,,zizo2
90,,justin11
91,,zizo2
92,,maestroq
93,,justin11
94,,zizo2
95,,sirlouie
96,,justin11
97,,zizo2
98,,thecastle
99,,justin11
100,,zizo2
101,,maestroq
102,,bitgeek
103,,cryptodailyuk
104,,maestroq
105,,justin11
106,,zizo2
107,,loveyo
108,,justin11
109,,dakfn
110,,zizo2
111,,maximzvonarev
112,,justin11
113,,zizo2
114,,sajeelahmad
115,,essentia.one
116,,shanepants
117,,chumps1
118,,akra5ia
119,,melindadessi
120,,cryptomk2
121,,andreaminaldo
122,,stigmacrypto
123,,dinodinoo
124,,stanleemike
125,,aliallafi
126,,asadshah
127,,xak
128,,selfmade78704
129,,cryptonewslife
130,,bisiland
131,,petrosnoah
132,,evanrvoss
133,,davide.vasco
134,,santilum
135,,bisiland
136,,argo1
137,,prabod
138,,steemish
139,,adviser
140,,santilum
141,,thehermitmonk
142,,marcopagan
143,,tarangogu
144,,maestroq
145,,matthewoz101
146,,charch4r
147,,thehermitmonk
148,,maestroq
149,,mfg
150,,steemgiirl
151,,osmondyang
152,,javieralexvr
153,,matthew-analysis
154,,mgilly
155,,truthrevolution
156,,adul
157,,frogtron
158,,thebusinessman
159,,shivay822
160,,craftyapp
161,,jagr
162,,bubu4845
163,,billthecipher
164,,jcrodriguez
165,,seba-cripto-info
166,,flagships
167,,porfirios
168,,diaehamzawi
169,,dylanserie
170,,forexmaster
171,,syarif.idris11
172,,nabukadnezar
173,,mehedi118
174,,shivay822
175,,boxmining
176,,adul
177,,freeforall
178,,dekall
179,,unwnted
180,,kryptoraport
181,,photosphotos
182,,dolphinstudios
183,,arbenbeni
184,,shredz7
185,,mccoin
186,,thinkinghuman
187,,rebecca01
188,,abeerazmat
189,,rebecca01
190,,adul
191,,syarif.idris11
192,,ontofractal
193,,bisiland
194,,thearcanebear
195,,amar-patel
196,,gatorinla
197,,kongstar
198,,saqibali07
199,,princeharith
200,,pikacu12
201,,gatorinla
202,,rayka
203,,adul
204,,chaoscraig
205,,justinwebster
206,,santilum
207,,bisiland
208,,ploz
209,,tizswa
210,,l3gionario
211,,aravas18
212,,djjabb83
213,,billninh
214,,amitraj
215,,bitnation
