,author,coin
0,mjinvestructure,ripple
1,valarmorg,ripple
2,jignesh55227,ripple
3,mattcorwin,ripple
4,haejin,ripple
5,gatorinla,ripple
6,gatorinla,ripple
7,bitgeek,ripple
8,pml2020,ripple
9,infidel1258,ripple
10,onlineprds,ripple
11,tonyot,ripple
12,shanepants,ripple
13,simonpeter35,ripple
14,phantom00,ripple
15,steemitraj,ripple
16,bluestatebandit,ripple
17,cryptodade305,ripple
18,cryptodade305,ripple
19,adoniece,ripple
20,nabilbouasla,ripple
21,ralphiex33x,ripple
22,hazet36,ripple
23,tumutanzi,ripple
24,chumps1,ripple
25,turkuaztr,ripple
26,aliallafi,ripple
27,criptoar,ripple
28,mrmuscle,ripple
29,mktkim4,ripple
30,cryptogossip,ripple
31,marketstack,ripple
32,ladyheart,ripple
33,adviser,ripple
34,manfromcuba,ripple
35,disiaslan,ripple
36,unlukubra,ripple
37,steemgiirl,ripple
38,osmondyang,ripple
39,anisurrahman23,ripple
40,ouzzi,ripple
41,pasquale61,ripple
42,diaehamzawi,ripple
43,cumali212,ripple
44,nabilbouasla,ripple
45,chandrasekar,ripple
46,nafestw,ripple
47,reactivator,ripple
48,spakspoki86,ripple
49,serfis,ripple
50,photosphotos,ripple
51,shredz7,ripple
52,ultraspace,ripple
53,nickall,ripple
54,mattcorwin,ripple
55,gatorinla,ripple
56,flico,ripple
57,aadi,ripple
58,liquidoo,ripple
59,coinbizpro,ripple
60,noxite,ripple
61,meteersen,ripple
62,khudgabbar,ripple
63,salahuddin2004,ripple
64,chandrasekar,ripple
65,cryptogator,ripple
66,marshaltrader,ripple
67,mathello,ripple
68,mattcorwin,ripple
69,cryptodailyuk,ripple
70,zafran,ripple
71,newmarket65,ripple
72,jeckt84,ripple
73,jeckt84,ripple
74,vlemon,ripple
75,ahmetka,ripple
76,voluntary-io,ripple
77,pg-live-pt,ripple
78,anks123,ripple
79,mohsinshahzad,ripple
80,bym,ripple
81,cryptonitegirl,ripple
82,junaidhassan,ripple
83,simibac,ripple
84,steembusiness,ripple
85,bitcoin-korea,ripple
86,coinnewsupdate,ripple
87,filozof,ripple
88,ansarbutt,ripple
89,altcoinseuro,ripple
90,onehand,ripple
91,hectorjoachim,ripple
92,southforce,ripple
93,sureshvtec,ripple
94,cryptogossip,ripple
95,mktkim4,ripple
96,chocofoxy,ripple
97,mktkim4,ripple
98,sansastark,ripple
99,newscryptonator,ripple
100,tech-hub,ripple
101,newscryptonator,ripple
102,newscryptonator,ripple
103,tech-hub,ripple
104,tech-hub,ripple
105,juliawilliams,ripple
106,seanytan,ripple
107,parkcaseynj,ripple
108,tricksofthetrade,ripple
109,maxdel,ripple
110,cryptoreports,ripple
111,naughtyinvestor,ripple
112,veni001,ripple
113,bitgeek,ripple
114,crypto-daily,ripple
115,crypto.panic,ripple
116,superblocks,ripple
117,sureshvtec,ripple
118,bupaljr,ripple
119,ashwim,ripple
120,thepioneer,ripple
121,shanepants,ripple
122,knightrider88,ripple
123,jfbl1984,ripple
124,thecryptoanalyst,ripple
125,zorge13,ripple
126,just.jules,ripple
127,photosphotos,ripple
128,livedailysignal,ripple
129,zizo2,ripple
130,wasabi90,ripple
131,technologyartist,ripple
132,rodrigomacias,ripple
133,chasegapo,ripple
134,thinkingcrypto,ripple
135,davidshaw,ripple
136,pikacu12,ripple
137,cryptokhann,ripple
138,kwangjaggle,ripple
139,best10,ripple
140,maximzvonarev,ripple
141,coinbizpro,ripple
142,jfbl1984,ripple
143,elsociooficial,ripple
144,ferhatonya,ripple
145,yuemay,ripple
146,chetsteadman,ripple
147,steemitpowerline,ripple
148,shanepants,ripple
149,shanepants,ripple
150,kamrankhatri,ripple
151,thedolphin,ripple
152,thenotorious,ripple
153,btcturk,ripple
154,carryminata,ripple
155,a-blockchain,ripple
156,cryptogator,ripple
157,jeckt84,ripple
158,hatu,ripple
159,cuaderno,ripple
160,saqibnazir,ripple
161,cryptogator,ripple
162,pasie15,ripple
163,dogeofwallstreet,ripple
164,bitzoner,ripple
165,ricjames,ripple
166,lifewithcrypto,ripple
167,dekall,ripple
168,rad44,ripple
169,tenpix,ripple
170,aquia10,ripple
171,candylady,ripple
172,niopomilia,ripple
173,pasquale61,ripple
174,inferisgr,ripple
175,investing,ripple
176,rezasaputrafj,ripple
177,gs612,ripple
178,thecryptoanalyst,ripple
179,biriki3,ripple
180,aleysia,ripple
181,anbilivibil,ripple
182,iramb131,ripple
183,yakuzafth,ripple
