,names,score
0,photosphotos,75.06255777244787
1,rad44,72.732529094728
2,spakspoki86,72.73234057595766
3,a-blockchain,75.06255777244787
4,omercahit,72.49832713657094
5,nabilbouasla,75.06255777244789
6,gecollllll,75.06255777244789
7,ferhatonya,70.63459544632185
8,aquia10,71.56874318526424
9,cryptogator,75.06255777244789
10,thuanyoung,69.9374292421526
11,muhittinabi,71.80105610201846
12,indiancrypto,72.49776611397127
13,shanepants,75.06255777244789
14,tenpix,71.33681306839554
15,serfis,70.63566890866989
16,xmflr95,75.06255777244789
17,videoaddiction,75.06255777244789
18,inferisgr,75.06255777244789
19,altcoinseuro,72.49632359009792
20,vinay-negi,71.79980875258084
21,ahmadali,71.56883181240674
22,juliawilliams,74.5952570752573
23,chasegapo,72.2644959941221
24,investing,71.56803925287808
25,mt63,71.33710861464345
26,maksym7,71.5683650358737
27,ibrar26,72.49663261549432
28,thedolphin,72.03340227262596
29,shitsignals,73.433562749008
30,bitzoner,70.4067650957145
31,cryptoreports,74.82909516226563
32,chumps1,73.19835250359522
33,just.jules,72.0323681117469
34,omradk,73.89891404506308
35,cdogdiddy,72.73120272584492
36,dogeofwallstreet,75.06255777244789
37,escape,73.19865615216584
38,crypto-daily,72.73317525894572
39,onlineprds,74.82875603899247
40,bluestatebandit,71.56834494336061
41,disiaslan,71.33620780846907
42,sylinda,71.79950706105282
43,hemantkr10,71.10408404027496
44,tricksofthetrade,72.73420764076921
45,anks123,70.16788910905649
46,gatorinla,75.06255777244789
47,maviege,72.73541359335995
48,parkcaseynj,75.06255777244789
49,atimk23,73.43262314554752
50,halterci,72.73122520171778
51,cryptodailyuk,74.82948051390426
52,diaehamzawi,75.06255777244789
53,arsipel,72.9663516523969
54,simonpeter35,75.06255777244789
55,cryptogossip,74.82909516226563
56,jeckt84,75.06255777244787
57,junaidhassan,72.73329335167456
58,renatokalemi,74.36284332998201
59,yuemay,72.49877926542176
60,davidshaw,72.2676511169504
61,phantom00,73.66423618038618
62,mattcorwin,75.06255777244787
63,nuriates,71.80208695294961
64,ricjames,74.8288052976928
65,yousafharoonkhan,72.26574187722021
66,aartor,72.7310042825834
67,steemgiirl,72.7319289072197
68,noxite,74.36355889949175
69,damedoubleu,72.73184911712904
70,ultraspace,72.50267419109483
71,tux6845,71.80123111976624
72,rodrigomacias,73.19922124133426
73,colon2018,72.26495314518907
74,lifewithcrypto,75.06255777244787
75,resteemedvote,72.72991625413556
76,lovelisco22,73.1976420831506
77,marshaltrader,71.10039758201651
78,swiftsid,72.96659984584161
79,newscryptonator,75.06255777244787
80,pasquale61,74.82915361566022
81,mathello,70.63709983499533
82,steemitraj,71.33742557836959
83,unlukubra,72.73147320493105
84,umairoffi,71.10185172009939
85,hectorjoachim,71.80132779143402
86,mktkim4,75.06255777244787
87,criptofan,72.03536508279704
88,noisysky,70.40785351972377
89,lavinas,72.03249705971264
90,pg-live-pt,74.36460299334523
91,reactivator,72.49770616395604
92,valarmorg,72.73011025193392
93,chocofoxy,72.73185706567916
94,chobs,75.06255777244787
95,adoniece,71.80212472951479
96,jfbl1984,74.8293779006512
97,cuaderno,71.8014110488193
98,hatu,72.96845313082929
